id,Item_Identifier_x,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,name,phoneNumber,address
494,FDW36,11.15,Low Fat,0.0570481,Baking Goods,107.462,OUT045,2002,Small,Tier 2,Supermarket Type1,1318.02,Tamara Wyatt,876.989.9927x5175,"4449 Lawrence Islands
New James, ME 25646"
495,FDW36,12.5,Low Fat,0.0996817,Baking Goods,107.462,OUT019,1985,Small,Tier 1,Grocery Store,317.587,Kelly Jenkins,963-924-3588x537,"43395 Paige Valleys
Brooksfurt, NJ 94485"
496,FDC37,12.5,Low Fat,0.057557,Baking Goods,107.694,OUT019,1985,Small,Tier 1,Grocery Store,214.388,Keith Medina,(491)416-8601,"7894 Gonzalez Center Suite 791
Kimmouth, DE 18815"
497,FDW36,11.15,Low Fat,0.0568853,Baking Goods,107.762,OUT013,1987,High,Tier 3,Supermarket Type1,1285.66,Isaiah Solis,0141884216,"15944 Allen Forges
Sarahstad, MP 31481"
498,FDZ60,20.5,Low Fat,0.119362,Baking Goods,107.86,OUT046,1997,Small,Tier 1,Supermarket Type1,2432.23,Juan Stewart,263.890.2199,"Unit 4711 Box 3633
DPO AA 80403"
499,FDS36,8.38,Regular,0.0468873,Baking Goods,107.957,OUT046,1997,Small,Tier 1,Supermarket Type1,2966.14,Christopher Robinson,034-699-6733,"7726 Johnson Track
Jamiefort, NE 69174"
500,FDZ60,20.5,Low Fat,0.119604,Baking Goods,107.96,OUT045,2002,Small,Tier 2,Supermarket Type1,2345.96,Alex Romero,(793)521-9626x3355,"436 Yu Spur
Lake Heidi, NV 93964"
501,FDC37,15.5,Low Fat,0.0328671,Baking Goods,108.094,OUT035,2004,Small,Tier 2,Supermarket Type1,1809.49,Jasmine Reed,(076)761-6453x4547,"898 Meghan Light
Brandonbury, CO 93182"
502,FDS36,8.38,Regular,0.0469824,Baking Goods,108.157,OUT045,2002,Small,Tier 2,Supermarket Type1,549.285,Anna Dominguez,4184724264,"64281 Monica River
New Diamondburgh, LA 72320"
503,FDC37,12.5,Low Fat,0.0327142,Baking Goods,108.194,OUT027,1985,Medium,Tier 3,Supermarket Type3,3307.25,Jay Jackson,3911142817,"228 John Branch Suite 248
New Williamton, MO 18189"
504,FDC37,15.5,Low Fat,0.0550233,Baking Goods,108.294,OUT010,1998,Medium,Tier 3,Grocery Store,1812.84,John Bradford,959.473.7213,"62047 Byrd Locks
Onealmouth, SD 68613"
505,FDZ60,12.5,Low Fat,0.118784,Baking Goods,108.56,OUT027,1985,Medium,Tier 3,Supermarket Type3,1725.75,Larry Higgins,001-648-628-7203x1954,"6450 Freeman Terrace Apt. 362
Grimesberg, SD 40081"
506,FDZ60,20.5,Low Fat,0.119262,Baking Goods,108.86,OUT013,1987,High,Tier 3,Supermarket Type1,2454.78,Charles Lester,476.775.3726x032,"PSC 1450, Box 5766
APO AE 78913"
507,FDS36,12.5,Regular,0.0466603,Baking Goods,108.957,OUT027,1985,Medium,Tier 3,Supermarket Type3,2335.11,Roberto Arnold,7155348201,"08385 Shane Isle Suite 595
Michealhaven, OR 16661"
508,FDZ60,20.5,Low Fat,0.119547,Baking Goods,108.96,OUT049,1999,Medium,Tier 1,Supermarket Type1,539.298,Olivia Hamilton,089.812.6574x22319,"00402 Robert Fields Suite 268
Veronicaborough, AL 09181"
509,FDZ60,20.5,Low Fat,0.119848,Baking Goods,109.46,OUT018,2009,Medium,Tier 3,Supermarket Type2,431.438,Andrew Acosta,372-711-7595,"885 Rose Shores Suite 933
South Timothymouth, NY 39897"
510,FDN12,15.6,Low Fat,0.08123,Baking Goods,109.854,OUT049,1999,Medium,Tier 1,Supermarket Type1,1885.1,Dr. Jared Crane MD,128-333-7218x856,"541 Francisco Orchard Apt. 506
Briggsberg, MT 62520"
511,FDS36,8.38,Regular,0.0468785,Baking Goods,109.857,OUT035,2004,Small,Tier 2,Supermarket Type1,2307.0,Felicia Wood,377-693-6634x3925,"611 Christopher Street Apt. 286
Mosleyberg, AR 00774"
512,FDN12,15.6,Low Fat,0.0810886,Baking Goods,110.054,OUT035,2004,Small,Tier 2,Supermarket Type1,1888.53,Andrew Carter,(591)024-5109x109,"67149 Gilbert Pine
Port Cheyenneberg, CA 61100"
513,FDS36,8.38,Regular,0.0471526,Baking Goods,110.157,OUT017,2007,Medium,Tier 2,Supermarket Type1,3185.85,Debbie Schneider,001-817-934-0652x775,"USNV Carter
FPO AP 53073"
514,FDN12,15.6,Low Fat,0.0812684,Baking Goods,110.254,OUT045,2002,Small,Tier 2,Supermarket Type1,1789.67,Timothy Bauer,533-722-0109x1217,"5593 Graham Crossing
Sharonborough, MH 62527"
515,FDZ48,17.75,Low Fat,0.127141,Baking Goods,110.554,OUT010,1998,Medium,Tier 3,Grocery Store,2099.7,Helen Myers,(100)462-7765x725,"592 Misty Expressway Suite 617
Eddieberg, IA 67712"
516,FDS36,8.38,Regular,0.0468483,Baking Goods,110.557,OUT013,1987,High,Tier 3,Supermarket Type1,3845.0,Tina Solomon,001-260-055-9550x1783,"848 Preston Ramp Apt. 607
Ambermouth, AZ 37789"
517,FDZ48,17.75,Low Fat,0.0763893,Baking Goods,111.154,OUT017,2007,Medium,Tier 2,Supermarket Type1,1118.54,Jason Sims,767-993-5937,"94640 Billy View
Allentown, NE 06761"
518,FDS36,8.38,Regular,0.0470783,Baking Goods,111.357,OUT018,2009,Medium,Tier 3,Supermarket Type2,1017.16,Rebekah Hill,+1-608-490-7938,"36852 Alexis Meadow Apt. 537
North Davidview, GA 86675"
519,FDZ48,17.75,Low Fat,0.0761137,Baking Goods,111.454,OUT045,2002,Small,Tier 2,Supermarket Type1,1006.69,David Martin,(325)144-8811x21031,"17518 Dixon Orchard Suite 151
Gregoryborough, ND 33305"
520,FDN12,15.6,Low Fat,0.135751,Baking Goods,111.554,OUT010,1998,Medium,Tier 3,Grocery Store,223.709,Susan Oliver,001-112-252-8837x50566,"23979 Theresa Summit Apt. 787
Morrisstad, ID 06001"
521,FDZ48,12.5,Low Fat,0.0755918,Baking Goods,111.654,OUT027,1985,Medium,Tier 3,Supermarket Type3,1477.07,Cole Duncan,5560571219,"277 Wilson Valleys
Port Marymouth, IA 41403"
522,FDN12,15.6,Low Fat,0.0,Baking Goods,111.854,OUT018,2009,Medium,Tier 3,Supermarket Type2,1454.11,Jessica Williams,042-462-4561,"Unit 5174 Box 4600
DPO AA 43460"
523,FDS36,8.38,Regular,0.0469602,Baking Goods,111.857,OUT049,1999,Medium,Tier 1,Supermarket Type1,2966.14,Brandon Taylor,991.511.4551x29391,"8818 Escobar Shoals Suite 160
Samanthachester, CO 86732"
524,FDZ48,17.75,Low Fat,0.0,Baking Goods,112.054,OUT035,2004,Small,Tier 2,Supermarket Type1,2148.08,Patrick Taylor,901-707-5681,"52291 Thomas Stream
East Joann, GU 89950"
525,FDN12,15.6,Low Fat,0.0810364,Baking Goods,112.354,OUT013,1987,High,Tier 3,Supermarket Type1,2572.65,Wanda Smith,493.783.0639x63845,"443 Jasmine Glens Suite 016
Lake Johnny, DC 76079"
526,FDN12,15.6,Low Fat,0.0811039,Baking Goods,112.354,OUT046,1997,Small,Tier 1,Supermarket Type1,1006.69,Martin Wilson,+1-320-330-1623x41903,"1537 Dylan Rue
Port Miguelchester, MS 86945"
527,FDZ48,17.75,Low Fat,0.0759596,Baking Goods,112.454,OUT046,1997,Small,Tier 1,Supermarket Type1,2460.8,Denise Alvarado,+1-236-533-7746x0406,"78436 Nicole Divide
Joshuachester, WI 02305"
528,FDZ48,17.75,LF,0.0760777,Baking Goods,112.454,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.94,Phillip Brown,543.734.7642x737,"PSC 0376, Box 3882
APO AE 35585"
529,FDN12,15.6,Low Fat,0.0815627,Baking Goods,112.754,OUT017,2007,Medium,Tier 2,Supermarket Type1,1118.54,Kelly Vaughn,846-019-1344x389,"780 Susan Islands
Bradleytown, NJ 25852"
530,FDZ48,17.75,Low Fat,0.0762691,Baking Goods,113.154,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.69,Nicholas Le,(449)369-9951x67933,"7385 Perez Points Apt. 119
East Robert, AZ 27365"
531,FDN12,12.5,LF,0.0807112,Baking Goods,113.154,OUT027,1985,Medium,Tier 3,Supermarket Type3,3355.63,Joseph Rodgers,872-333-5104,"49731 Mclean Ridge Apt. 149
North Thomas, KY 71420"
532,FDZ48,17.75,Low Fat,0.0758964,Baking Goods,113.354,OUT013,1987,High,Tier 3,Supermarket Type1,2193.12,Peter Chandler,365.118.9394x0655,"19043 Lynn Fort
Lake Harryborough, ID 17884"
533,FDD48,10.395,Low Fat,0.0301587,Baking Goods,113.518,OUT046,1997,Small,Tier 1,Supermarket Type1,1262.62,Antonio Cole,+1-201-354-6212x760,"261 Kathy Forest
East Robertchester, IN 92210"
534,FDZ48,12.5,low fat,0.132996,Baking Goods,113.554,OUT019,1985,Small,Tier 1,Grocery Store,223.709,Deborah Meyer,+1-899-572-9893,"USCGC Jackson
FPO AA 37093"
535,FDD48,10.395,Low Fat,0.0504795,Baking Goods,114.018,OUT010,1998,Medium,Tier 3,Grocery Store,1256.33,Larry Howe,001-036-468-7191x20381,"920 Amber Fort Apt. 308
East Amberland, MA 69323"
536,FDD48,10.395,LF,0.0303293,Baking Goods,114.218,OUT017,2007,Medium,Tier 2,Supermarket Type1,1306.02,Debbie Rivera,(206)732-3182,"8157 Erin Vista
Anthonytown, WI 04082"
537,FDD48,10.395,Low Fat,0.030153,Baking Goods,114.518,OUT035,2004,Small,Tier 2,Supermarket Type1,1309.45,Melissa Roy,001-015-291-1371x7850,"255 Chambers Underpass
Karenview, GA 11647"
538,FDD48,10.395,Low Fat,0.0302199,Baking Goods,114.718,OUT045,2002,Small,Tier 2,Supermarket Type1,2748.42,Brittany Barnett,+1-747-812-2489,"7086 Johnson Rapid Apt. 043
Reedmouth, CO 47879"
539,FDD48,10.395,Low Fat,0.0302056,Baking Goods,114.918,OUT049,1999,Medium,Tier 1,Supermarket Type1,1278.19,Denise Hernandez,(913)624-8355x0542,"080 Brown Fords Apt. 699
Montgomerytown, WI 82342"
540,FDD48,10.395,Low Fat,0.0301336,Baking Goods,115.118,OUT013,1987,High,Tier 3,Supermarket Type1,1280.41,Tiffany Chase,221.040.1648x18804,"287 Gilmore Gateway Apt. 638
South Josephberg, TX 09090"
541,FDD48,12.5,Low Fat,0.0300126,Baking Goods,116.118,OUT027,1985,Medium,Tier 3,Supermarket Type3,3868.96,James Gregory,001-289-464-2036x2586,"1706 Dougherty Roads Suite 255
Michelleton, HI 53359"
542,FDD48,10.395,Low Fat,0.0302815,Baking Goods,116.318,OUT018,2009,Medium,Tier 3,Supermarket Type2,1259.69,Michelle Wood,+1-243-017-6464,"15388 Maria Harbor
Jessicaberg, NH 80467"
543,FDD36,13.3,Low Fat,0.0212695,Baking Goods,117.212,OUT035,2004,Small,Tier 2,Supermarket Type1,1714.82,Amy Watts,4043333538,"163 Linda Course Apt. 978
Griffithville, ND 06835"
544,FDD36,12.5,Low Fat,0.0211705,Baking Goods,117.612,OUT027,1985,Medium,Tier 3,Supermarket Type3,2251.74,Christina Watkins,+1-373-265-3060x1198,"1786 Alex Ferry Apt. 009
West Kimberlyville, OH 17266"
545,FDD36,13.3,Low Fat,0.0213167,Baking Goods,117.712,OUT045,2002,Small,Tier 2,Supermarket Type1,1675.17,Kelly Smith,001-657-744-9160x936,"01491 Monica Route Suite 184
East Randy, NJ 45452"
546,FDD36,13.3,Low Fat,0.0212736,Baking Goods,117.812,OUT046,1997,Small,Tier 1,Supermarket Type1,1660.92,Laurie Avila,(322)399-8213x74556,"42886 Maria Roads Apt. 537
Pattersonton, NC 91423"
547,FDQ60,12.5,Regular,0.108845,Baking Goods,118.51,OUT027,1985,Medium,Tier 3,Supermarket Type3,1088.8,Paul Simmons,0308356691,"2715 Cory Extensions
West Priscilla, MI 07323"
548,FDQ60,6.195,Regular,0.109596,Baking Goods,118.81,OUT045,2002,Small,Tier 2,Supermarket Type1,772.828,Katrina White,001-177-682-9384,"34808 Deleon Junctions
Johnside, WA 69786"
549,FDG12,6.635,Regular,0.00632084,Baking Goods,118.91,OUT013,1987,High,Tier 3,Supermarket Type1,859.974,Angel Hall,(910)157-0908x599,"9207 Aguilar Expressway Suite 999
Wangshire, AS 49766"
550,FDG12,6.635,Regular,0.00632491,Baking Goods,119.11,OUT035,2004,Small,Tier 2,Supermarket Type1,829.808,Mary Greer,+1-997-184-2859x6932,"0849 Stephanie Field
East Marybury, LA 19020"
551,FDD36,13.3,Low Fat,0.0212559,Baking Goods,119.112,OUT013,1987,High,Tier 3,Supermarket Type1,1679.25,Jessica Elliott,6908726176,"Unit 0723 Box 4838
DPO AP 29388"
552,FDP24,20.6,Low Fat,0.0830041,Baking Goods,119.476,OUT046,1997,Small,Tier 1,Supermarket Type1,1090.58,Matthew Velez,+1-382-804-0561x2996,"9582 Guerrero Course
Berrystad, MT 83122"
553,FDP24,20.6,Low Fat,0.138932,Baking Goods,119.576,OUT010,1998,Medium,Tier 3,Grocery Store,121.176,Ronald Smith,612.385.9514x3468,"400 Timothy Fork Apt. 086
Solomonfurt, CA 07729"
554,FDP24,20.6,Low Fat,0.082935,Baking Goods,119.576,OUT013,1987,High,Tier 3,Supermarket Type1,2665.86,William Hughes,113.950.0168,"49150 Russell Fall Apt. 976
North Jessica, IN 84059"
555,FDQ60,6.195,Regular,0.109374,Baking Goods,119.61,OUT046,1997,Small,Tier 1,Supermarket Type1,807.671,Alan Simpson,946.207.2662x925,"776 Tina Port
Port Kimberlytown, MO 69180"
556,FDD36,13.3,Low Fat,0.0213939,Baking Goods,119.812,OUT017,2007,Medium,Tier 2,Supermarket Type1,1705.05,Deborah Waller,373.125.5235,"PSC 6178, Box 1703
APO AE 89372"
557,FDD36,13.3,LF,0.0213066,Baking Goods,119.812,OUT049,1999,Medium,Tier 1,Supermarket Type1,1896.2,Larry Smith,363-852-7789,"Unit 6133 Box 7184
DPO AA 35182"
558,FDD36,13.3,Low Fat,0.0356076,Baking Goods,119.912,OUT010,1998,Medium,Tier 3,Grocery Store,118.512,Molly Jackson,001-502-648-0164,"73416 Ferguson Divide
Figueroafort, TN 67792"
559,FDP24,20.6,Low Fat,0.0829884,Baking Goods,120.076,OUT035,2004,Small,Tier 2,Supermarket Type1,2696.18,Cody Smith,(179)821-3486,"797 Katherine Way Apt. 831
New Erin, MD 54034"
560,FDP24,20.6,Low Fat,0.0833422,Baking Goods,120.176,OUT018,2009,Medium,Tier 3,Supermarket Type2,2723.18,Darryl Christensen,001-079-866-1770x6736,"50682 Donna Extension
East Crystal, MD 88828"
561,FDP24,20.6,LF,0.0831331,Baking Goods,120.176,OUT049,1999,Medium,Tier 1,Supermarket Type1,1332.93,Willie Shelton,+1-505-871-4692x18219,"9089 Young Road Suite 802
North Melissa, AS 04945"
562,FDG12,6.635,Regular,0.00635188,Baking Goods,120.31,OUT018,2009,Medium,Tier 3,Supermarket Type2,1446.12,Melissa Hall,+1-694-842-4959,"145 Garrett Parkways
Riverston, UT 86331"
563,FDQ60,6.195,Regular,0.109354,Baking Goods,120.41,OUT035,2004,Small,Tier 2,Supermarket Type1,783.236,Howard White,+1-676-738-2097,"177 Cruz Drive
Wagnerberg, MP 17473"
564,FDQ60,6.195,Regular,0.109544,Baking Goods,120.41,OUT049,1999,Medium,Tier 1,Supermarket Type1,790.695,Kenneth Snyder,001-085-806-2350x4056,"790 Emily Expressway Suite 825
Josephburgh, NC 52035"
565,FDD36,13.3,Low Fat,0.0213602,Baking Goods,120.412,OUT018,2009,Medium,Tier 3,Supermarket Type2,1777.69,James Taylor,+1-423-289-4633x891,"1528 Bowen Orchard
West Paul, OK 23026"
566,FDA35,14.85,Regular,0.0539467,Baking Goods,120.507,OUT045,2002,Small,Tier 2,Supermarket Type1,1932.69,Kevin Oneill,589.513.8186,"784 Herring Points
Alexismouth, WV 64433"
567,FDQ60,6.195,Regular,0.10982,Baking Goods,120.61,OUT018,2009,Medium,Tier 3,Supermarket Type2,821.896,Donna Green,3491891179,"85934 Christopher Lakes
South Kyle, MD 38990"
568,FDA35,14.85,Regular,0.0538376,Baking Goods,120.807,OUT046,1997,Small,Tier 1,Supermarket Type1,4287.75,Gabriel Murphy,325-936-7813,"0094 Heidi Row Apt. 410
Gregoryfurt, RI 69865"
569,FDP24,20.6,Low Fat,0.0834736,Baking Goods,120.876,OUT017,2007,Medium,Tier 2,Supermarket Type1,1211.76,Barbara Vargas,809.270.4523x8885,"8660 Shields Prairie
Sparksmouth, ND 58461"
570,FDP24,12.5,Low Fat,0.0826021,Baking Goods,120.976,OUT027,1985,Medium,Tier 3,Supermarket Type3,3877.62,Scott Taylor,001-585-485-9655x942,"116 Johnson Vista Apt. 002
Nathanbury, OR 85349"
571,FDA35,14.85,Regular,0.0537928,Baking Goods,121.007,OUT013,1987,High,Tier 3,Supermarket Type1,1922.74,Angel Young,+1-155-130-5570x8368,"4488 Cruz River
Thomasbury, NE 59352"
572,FDP24,20.6,Low Fat,0.0831724,Baking Goods,121.076,OUT045,2002,Small,Tier 2,Supermarket Type1,1696.46,Rachel Ball,620-258-2543x1832,"231 James Divide
Lake Kevinland, AR 49935"
573,FDG12,6.635,Regular,0.00636189,Baking Goods,121.11,OUT017,2007,Medium,Tier 2,Supermarket Type1,2651.22,Stacey Stone,(472)387-5082x76817,"7754 Hart Grove
Taylorberg, VI 75371"
574,FDQ60,12.5,Regular,0.191501,Baking Goods,121.21,OUT019,1985,Small,Tier 1,Grocery Store,120.51,Erika Montgomery,768.316.0827x17217,"3992 Mark Extensions
New Stephanie, PW 81085"
575,FDG12,6.635,Regular,0.0,Baking Goods,121.31,OUT045,2002,Small,Tier 2,Supermarket Type1,2530.71,Jason Jackson,659-143-8823,"PSC 5539, Box 8358
APO AA 35468"
576,FDG12,12.5,Regular,0.0,Baking Goods,121.31,OUT019,1985,Small,Tier 1,Grocery Store,120.51,Sonya Robinson,(430)954-4979x1279,"29271 Brian Gateway Suite 871
South Jean, GU 43345"
577,FDG12,6.635,Regular,0.00633594,Baking Goods,121.81,OUT049,1999,Medium,Tier 1,Supermarket Type1,2048.67,Trevor Bautista,322.012.5608x32004,"788 Bailey Fords Suite 852
Lake Amanda, AR 98884"
578,FDQ60,6.195,Regular,0.109283,Baking Goods,121.91,OUT013,1987,High,Tier 3,Supermarket Type1,808.097,Robin Williams,4436199517,"91029 Kimberly Stream
Elizabethland, ME 26563"
579,FDT60,12.0,Low Fat,0.0755483,Baking Goods,121.939,OUT046,1997,Small,Tier 1,Supermarket Type1,3219.81,Matthew Moss,093.096.7139,"60221 Eric Way
Ortizberg, AR 15596"
580,FDG12,6.635,reg,0.00632611,Baking Goods,122.11,OUT046,1997,Small,Tier 1,Supermarket Type1,866.912,Nichole Davis,661-220-1907,"873 Sara Summit Apt. 049
South Omar, IL 70775"
581,FDA35,12.5,Regular,0.0535768,Baking Goods,122.207,OUT027,1985,Medium,Tier 3,Supermarket Type3,3552.71,Christopher Curtis,+1-481-242-1140x86825,"29462 Mary Ramp Apt. 556
Port Judytown, AS 28631"
582,FDQ60,6.195,Regular,0.109993,Baking Goods,122.31,OUT017,2007,Medium,Tier 2,Supermarket Type1,833.48,Laura Reed,001-970-137-1243x65858,"30412 Donald Orchard Apt. 615
South Jerry, NM 36929"
583,FDT60,12.0,Low Fat,0.0754854,Baking Goods,122.339,OUT013,1987,High,Tier 3,Supermarket Type1,1570.83,Kyle Brown,001-166-906-3224x8155,"034 John Crossing
New Michaelfurt, NM 74481"
584,FDG12,12.5,Regular,0.00629547,Baking Goods,122.41,OUT027,1985,Medium,Tier 3,Supermarket Type3,3735.8,Margaret Richardson,915-795-5462x3471,"6010 Kayla Union Apt. 030
Spencerville, NV 52751"
585,FDA35,14.85,Regular,0.0539213,Baking Goods,123.007,OUT049,1999,Medium,Tier 1,Supermarket Type1,1960.12,Tony Burns,(808)081-5712x90150,"067 John Mountain
West Christopher, AR 38213"
586,FDA35,14.85,Regular,0.0540569,Baking Goods,123.207,OUT018,2009,Medium,Tier 3,Supermarket Type2,2012.59,Allison Cunningham,(588)576-6947,"053 Catherine Estate
Weekschester, FM 52094"
587,FDT60,12.0,Low Fat,0.126452,Baking Goods,123.639,OUT010,1998,Medium,Tier 3,Grocery Store,1572.69,Chase Gomez,832-700-0466,"9011 Sergio Oval Suite 140
Lake Dianashire, IA 71788"
588,FDT60,12.5,Low Fat,0.132275,Baking Goods,123.839,OUT019,1985,Small,Tier 1,Grocery Store,123.839,Kristen Hoover,001-490-531-5204,"497 Logan Pines
Fowlerland, ID 61219"
589,FDT60,12.0,Low Fat,0.075534,Baking Goods,123.939,OUT035,2004,Small,Tier 2,Supermarket Type1,1635.99,Melinda Cervantes,(984)166-1237x4077,"25623 Aguilar Crescent
Romanland, VT 35118"
590,FDA35,14.85,Regular,0.0541421,Baking Goods,124.107,OUT017,2007,Medium,Tier 2,Supermarket Type1,1837.61,Jeffrey Travis,+1-203-708-7821x16020,"81359 Lester Creek Apt. 708
Sarahhaven, AK 09755"
591,FDA35,14.85,Regular,0.0538274,Baking Goods,124.107,OUT035,2004,Small,Tier 2,Supermarket Type1,1953.57,Tanya Shannon,822-175-8839x7857,"USNS Brown
FPO AE 34514"
592,FDT60,12.0,Low Fat,0.0759756,Baking Goods,124.139,OUT017,2007,Medium,Tier 2,Supermarket Type1,1486.07,Jennifer Flores,+1-123-691-4961x12879,"688 Steven Terrace
Lanefort, TN 83782"
593,FDT60,12.0,Low Fat,0.0758561,Baking Goods,124.539,OUT018,2009,Medium,Tier 3,Supermarket Type2,1733.74,Andrew Gomez,001-141-961-5607x832,"6517 White Route
New Saraport, MP 80431"
594,FDV36,12.5,Low Fat,0.0460514,Baking Goods,124.602,OUT019,1985,Small,Tier 1,Grocery Store,2705.71,Joshua Le,+1-604-784-2170x285,"59364 Aaron Ports
West Amanda, ND 91817"
595,FDS12,9.1,Low Fat,0.174086,Baking Goods,124.636,OUT035,2004,Small,Tier 2,Supermarket Type1,2390.89,Lisa Beard,(467)287-9916,"41319 Michael Throughway
Port Morgan, VT 53897"
596,FDT60,12.0,Low Fat,0.0757015,Baking Goods,124.639,OUT045,2002,Small,Tier 2,Supermarket Type1,2105.26,Daniel Cortez,5230458816,"54472 Martinez Court
Stewartton, VI 25830"
597,FDT60,12.5,Low Fat,0.0751825,Baking Goods,124.839,OUT027,1985,Medium,Tier 3,Supermarket Type3,1660.48,Denise French,(617)718-2498x98088,"USS Cline
FPO AA 72741"
598,FDV36,18.7,Low Fat,0.0264508,Baking Goods,124.902,OUT017,2007,Medium,Tier 2,Supermarket Type1,2909.55,Devon Ramos,(813)592-6648x69893,"987 Conrad Light Suite 155
Tiffanyton, DE 16769"
599,FDS12,12.5,LF,0.304859,Baking Goods,125.436,OUT019,1985,Small,Tier 1,Grocery Store,755.017,Miranda Frazier,7536051171,"98863 Edwards Loop
North Xavier, KS 43447"
600,FDV36,18.7,Low Fat,0.0263429,Baking Goods,125.702,OUT049,1999,Medium,Tier 1,Supermarket Type1,2468.16,Anthony Washington,0994248942,"4896 Jimenez Causeway Suite 642
Port Krystalport, MD 56021"
601,FDS12,9.1,Low Fat,0.174389,Baking Goods,125.736,OUT049,1999,Medium,Tier 1,Supermarket Type1,1247.18,Katherine Ramos,+1-097-453-3890,"4662 Kaylee Junction
Brianfurt, SC 44279"
602,FDS12,9.1,Low Fat,0.174472,Baking Goods,125.836,OUT045,2002,Small,Tier 2,Supermarket Type1,1248.17,Hannah Schaefer,6221224276,"Unit 7746 Box 2591
DPO AA 04138"
603,FDT60,12.0,low fat,0.0756658,Baking Goods,125.839,OUT049,1999,Medium,Tier 1,Supermarket Type1,1585.57,Christopher Fletcher,158-488-6008,"867 Frey Crossroad Apt. 129
Scotttown, AS 36309"
604,FDV36,18.7,Low Fat,0.0440242,Baking Goods,125.902,OUT010,1998,Medium,Tier 3,Grocery Store,126.502,Zachary Ortiz,261-212-0384x375,"968 Steven Keys Apt. 548
West David, TN 73572"
605,FDV36,18.7,Low Fat,0.0264091,Baking Goods,126.102,OUT018,2009,Medium,Tier 3,Supermarket Type2,2523.17,Crystal Nguyen,540-064-4547x523,"23274 Fleming River
South Samuelfurt, WV 27538"
606,FDV36,18.7,Low Fat,0.026297,Baking Goods,126.202,OUT035,2004,Small,Tier 2,Supermarket Type1,2525.18,Edward May,001-272-038-8621x7508,"630 Murphy Roads
North Paul, WY 30587"
607,FDV36,18.7,Low Fat,0.026302,Baking Goods,126.502,OUT046,1997,Small,Tier 1,Supermarket Type1,2531.18,Joshua Gallegos,935-340-0181x677,"5244 Rangel Lake
Joseton, GU 70196"
608,FDS12,9.1,Low Fat,0.173974,Baking Goods,126.536,OUT013,1987,High,Tier 3,Supermarket Type1,1761.71,Joseph Ward,799-378-1053,"87884 Lara Port
Mcneilhaven, NY 20817"
609,FDS12,9.1,Low Fat,0.291439,Baking Goods,126.836,OUT010,1998,Medium,Tier 3,Grocery Store,125.836,Pamela George,579-271-4724x6301,"424 Rebecca Village Apt. 972
East Ashley, CT 20286"
610,FDV36,18.7,Low Fat,0.0263553,Baking Goods,127.102,OUT045,2002,Small,Tier 2,Supermarket Type1,3289.05,Victoria Keller,062.932.8809x8322,"23200 Heather Lights
Hamiltonville, AZ 04407"
611,FDV36,12.5,Low Fat,0.0261746,Baking Goods,127.102,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.55,Lynn Powers,+1-761-081-4356,"38453 Brittany Throughway Apt. 746
East Leslie, MT 77663"
612,FDS12,9.1,Low Fat,0.174828,Baking Goods,127.236,OUT018,2009,Medium,Tier 3,Supermarket Type2,1635.87,Michael Davis,3076205459,"0066 Henderson Course
North Rebeccafurt, PW 49124"
613,FDS12,9.1,Low Fat,0.174119,Baking Goods,127.436,OUT046,1997,Small,Tier 1,Supermarket Type1,1217.65,Brandon Davis,407.851.6994,"89058 Russell Plaza Apt. 482
Fergusonshire, OK 82005"
614,FDS12,9.1,Low Fat,0.175103,Baking Goods,127.536,OUT017,2007,Medium,Tier 2,Supermarket Type1,4655.94,James Stevens,8386888917,"150 Pratt Meadow Apt. 571
Mosleytown, UT 78449"
615,FDS12,12.5,Low Fat,0.173275,Baking Goods,127.636,OUT027,1985,Medium,Tier 3,Supermarket Type3,736.609,Alex Miller,(578)982-6041x80952,"USCGC Ward
FPO AP 41704"
616,FDV36,18.7,Low Fat,0.0,Baking Goods,128.102,OUT013,1987,High,Tier 3,Supermarket Type1,2611.1,Autumn Tucker,127-469-2118x8241,"64222 Cook Radial Apt. 704
Josephberg, CT 73056"
617,FDB36,5.465,Regular,0.0,Baking Goods,129.163,OUT046,1997,Small,Tier 1,Supermarket Type1,3672.55,Edward Tucker,5682092257,"016 Sara Junctions
Hillton, NH 23003"
618,FDB36,5.465,Regular,0.0486256,Baking Goods,129.263,OUT045,2002,Small,Tier 2,Supermarket Type1,1311.63,Chad Abbott,282.895.4001x7882,"731 Victoria Cliffs Suite 850
Jonesstad, OH 84581"
619,FDB36,5.465,Regular,0.0,Baking Goods,129.263,OUT049,1999,Medium,Tier 1,Supermarket Type1,748.805,Tiffany Davis,001-509-271-1526,"537 Lori Dale
North Antonio, CA 56886"
620,FDU48,18.85,Low Fat,0.0554445,Baking Goods,130.628,OUT049,1999,Medium,Tier 1,Supermarket Type1,2708.58,Melanie Smith,418.948.5432x9876,"5294 Frye Trafficway
South Maryland, RI 94997"
